Nome: PORTO ALEGRE- BELEM NOVO
Codigo Estacao: B807
Latitude: -30.1861111
Longitude: -51.17805554
Altitude: 3.3
Situacao: Operante
Data Inicial: 2022-12-07
Data Final: 2025-09-22
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-05-27;2.8;23.2;17.5;2.7;
2023-05-28;0;18.6;14;3.5;
2023-05-29;0;19;7.3;1.7;
2023-05-30;0;22.2;11.5;1.4;
2023-05-31;0;22;9.8;1;
2023-06-01;0;23.6;10.9;1.2;
2023-06-02;.2;25.2;10.7;1.1;
2023-06-03;0;25.5;10.1;1.2;
2023-06-04;0;25.6;12.5;1;
2023-06-05;0;20.3;16;2.1;
2023-06-06;0;21;8.6;1.3;
2023-06-07;0;25.4;11.3;1.3;
2023-06-08;0;27.3;13.4;.9;
2023-06-09;0;27.6;13.2;1.3;
2023-06-10;0;24.5;17.5;1.9;
2023-06-11;59.2;17.2;11.3;3.1;
2023-06-12;.2;13.1;7.3;2.5;
2023-06-13;0;15.6;2.7;2.2;
2023-06-14;1.8;16.2;9.3;2.8;
2023-06-15;6.2;16.1;13.3;3.6;
2023-06-16;100.6;16;14.3;7.7;
2023-06-17;7;16.1;9.7;1.8;
2023-06-18;0;15.9;5.9;1.1;
2023-06-19;0;17.7;3.6;1.6;
2023-06-20;.2;19.8;8.7;1.1;
2023-06-21;0;16.4;10.5;.8;
2023-06-22;5.4;20.3;12.6;1.9;
2023-06-23;.6;19.3;13.4;1.1;
2023-06-24;1;27;13.4;.9;
2023-06-25;.2;23.9;15.9;1.1;
2023-06-26;1.4;28.2;17.1;1.3;
2023-06-27;0;27.8;17;1.3;
2023-06-28;0;21;15.3;2.2;
2023-06-29;4.6;15.9;6.6;1.6;
2023-06-30;0;18.1;7.6;1.6;
2023-07-01;0;18.8;10.2;1;
2023-07-02;.2;20.1;12.5;1.3;
2023-07-03;0;23.9;10.7;1.4;
2023-07-04;0;24.9;11.3;1.3;
2023-07-05;0;19.1;13.8;1.3;
2023-07-06;0;26.1;10.1;1.5;
2023-07-07;3.8;17.7;15.8;2.2;
2023-07-08;31.2;20.2;15.2;2.7;
2023-07-09;.2;21.9;10.4;1.3;
2023-07-10;0;18.5;13.8;1.8;
2023-07-11;0;17.7;14.4;3.4;
2023-07-12;16.8;17.7;15.3;4.3;
2023-07-13;61.4;17.6;12.6;6.8;
2023-07-14;20.8;14.1;9.7;2.5;
2023-07-15;.2;15.8;3.9;1.1;
2023-07-16;0;16.4;8.1;1.1;
2023-07-17;0;13.6;5.9;1.9;
2023-07-18;0;13.2;3;1.9;
2023-07-19;0;17.5;3.3;2.7;
2023-07-20;0;23.3;8.3;1.5;
2023-07-21;5.2;25.4;14.9;1.9;
2023-07-22;0;29.2;13.9;1.3;
2023-07-23;0;27.7;18.4;2.7;
2023-07-24;0;18.5;15.4;2.9;
2023-07-25;9.8;16.8;15.4;1.7;
2023-07-26;27.2;22.7;15;2.6;
2023-07-27;0;17.3;9.1;2;
2023-07-28;17.8;16;10.8;2.3;
2023-07-29;0;15.4;6;1.6;
2023-07-30;0;21.6;5.4;1;
2023-07-31;0;23;9.3;1.2;
2023-08-01;0;26.2;9.4;.9;
2023-08-02;0;27.2;11.7;1.2;
2023-08-03;0;20.4;16.5;3;
2023-08-04;0;21.6;14.6;1.2;
2023-08-05;0;18.3;16.2;2.3;
2023-08-06;0;30.2;15.4;1.2;
2023-08-07;0;25.1;14.5;3;
2023-08-08;7.4;19.5;12;4.4;
2023-08-09;0;18.8;15.1;2.9;
2023-08-10;17.6;24.4;15;1.8;
2023-08-11;21.6;24.6;17.1;2.3;
2023-08-12;0;18.8;12.4;2.9;
2023-08-13;0;14.6;4.3;2.3;
2023-08-14;0;20.9;4.4;1.4;
2023-08-15;0;24.5;6.8;1.2;
2023-08-16;0;28.7;9.8;1.1;
2023-08-17;0;31.8;14;1.6;
2023-08-18;0;22.1;16.9;2.6;
2023-08-19;7.8;18.7;11.9;3.3;
2023-08-20;0;22;8.4;1.9;
2023-08-21;0;23.8;12.2;1.4;
2023-08-22;0;31.4;14.9;2.2;
2023-08-23;12.6;27.1;15.1;3.2;
2023-08-24;6.4;17.6;14.2;3.5;
2023-08-25;0;16.7;5.6;1.7;
2023-08-26;0;15.3;5;2.7;
2023-08-27;0;14.4;3.1;2.5;
2023-08-28;0;16.5;2.1;1.9;
2023-08-29;0;20.7;5.8;2.1;
2023-08-30;0;23.7;8.6;1.2;
2023-08-31;0;27.1;10;1.9;
2023-09-01;0;23.3;12.4;1.8;
2023-09-02;.2;24.8;17.4;1.5;
2023-09-03;9.4;20.1;16.1;1.5;
2023-09-04;46;19.6;17.4;2.9;
2023-09-05;34.6;16.7;11.7;4.8;
2023-09-06;0;20.9;9.9;4.1;
2023-09-07;.6;21.8;13.7;2.7;
2023-09-08;25.4;21.4;16.8;2.2;
2023-09-09;11.8;16.5;14.3;2.7;
2023-09-10;1.2;24.5;13.2;1.7;
2023-09-11;0;33.7;16.4;1.4;
2023-09-12;2.8;25.8;18;3.2;
2023-09-13;67.2;16.1;12.3;5.6;
2023-09-14;42.8;16.4;11.1;4.4;
2023-09-15;2.4;20.5;6.9;1.5;
2023-09-16;0;29.4;8;1.6;
2023-09-17;0;33.4;13;1.5;
2023-09-18;0;26.7;18.3;2.5;
2023-09-19;16.2;22.6;17.6;2.5;
2023-09-20;1.4;26.7;18.7;1.9;
2023-09-21;0;25.7;19.5;2;
2023-09-22;15;22.9;19.8;2.7;
2023-09-23;1.2;22.9;16.8;2;
2023-09-24;13.2;20.1;18.6;2.3;
2023-09-25;13.4;18;15.6;3.4;
2023-09-26;27;17.1;14.7;4.8;
2023-09-27;43;18.1;14.3;5.3;
2023-09-28;.4;21.7;11.6;3.2;
2023-09-29;0;25.5;13.9;2.6;
2023-09-30;0;20.2;16.6;3;
2023-10-01;0;18.4;13.8;3;
2023-10-02;0;19.1;7.9;2.2;
2023-10-03;0;24.7;9.7;2.2;
2023-10-04;20.2;20.8;16.6;2.8;
2023-10-05;1.6;21.2;14.5;2.5;
2023-10-06;0;23.2;11.9;2.4;
2023-10-07;0;21.6;18.5;3.7;
2023-10-08;1;19;16.9;2.9;
2023-10-09;5.6;22;15.3;2.8;
2023-10-10;.2;27.8;11.2;2.3;
2023-10-11;0;22.6;16.6;2.7;
2023-10-12;20.4;17.2;13.7;4.2;
2023-10-13;.2;18.8;11.5;3.5;
2023-10-14;0;22.8;9.6;3.4;
2023-10-15;0;25.6;13.1;3;
2023-10-16;8;21.3;17.8;2.1;
2023-10-17;27.4;22.2;17.3;2.2;
2023-10-18;0;20;13.8;3.7;
2023-10-19;0;22.3;13.7;4.1;
2023-10-20;0;24.1;16.7;3.5;
2023-10-21;0;25.1;16.4;2.9;
2023-10-22;0;26.5;14.9;1.9;
2023-10-23;8.2;23.5;17.4;1.7;
2023-10-24;4.2;26;20.2;2.5;
2023-10-25;.2;23.4;16.3;3;
2023-10-26;0;21.1;15.4;2.9;
2023-10-27;0;27.5;10.2;2.1;
2023-10-28;0;28.7;18;1.5;
2023-10-29;0;30.8;19.6;1.9;
2023-10-30;0;24.2;18.4;2;
2023-10-31;2.2;23.1;18.4;3.6;
2023-11-01;.2;23.1;18.4;4.6;
2023-11-02;8.6;22.1;16.6;5.7;
2023-11-03;34.8;21.1;18.1;2.7;
2023-11-04;18.6;20.9;14.3;4.5;
2023-11-05;0;22.3;8.9;2.5;
2023-11-06;0;25.7;14.9;3.5;
2023-11-07;0;31.5;12.8;2.1;
2023-11-08;0;28.3;17.4;1.4;
2023-11-09;1.4;22.4;18.9;2.7;
2023-11-10;.2;27.1;17.5;3.7;
2023-11-11;0;25.7;20.4;2.9;
2023-11-12;63.6;24.1;21;2.3;
2023-11-13;36.2;24.4;18.2;2;
2023-11-14;.6;23.6;19.5;1.5;
2023-11-15;0;24.4;20.1;1.3;
2023-11-16;21.4;26.6;20.4;1.7;
2023-11-17;0;26.2;18.1;2.5;
2023-11-18;19.4;23.2;21.3;2.4;
2023-11-19;1.8;24;18;2.8;
2023-11-20;0;28.6;12.4;1.9;
2023-11-21;0;33.9;14;1.4;
2023-11-22;0;27.1;20.7;3.4;
2023-11-23;14.8;24.7;19.2;3;
2023-11-24;.2;25.6;13.6;2.5;
2023-11-25;0;24.1;12;2.9;
2023-11-26;0;28.9;16.4;2.7;
2023-11-27;0;28.9;17.2;2;
2023-11-28;2.6;23.5;21.8;4.1;
2023-11-29;8.8;28.7;19.1;3.8;
2023-11-30;0;27.5;18.8;2;
2023-12-01;0;32;22;2.9;
2023-12-02;1;30.2;22;2.5;
2023-12-03;.8;27.2;19.1;3.1;
2023-12-04;12.2;21.8;19.1;4.4;
2023-12-05;2.6;23.3;18.2;4.4;
2023-12-06;0;29.9;20.9;1.8;
2023-12-07;18;27.7;21.9;2.5;
2023-12-08;.4;24.5;18.1;4.2;
2023-12-09;0;25.2;13.8;4;
2023-12-10;0;28.1;16.8;2.4;
2023-12-11;.4;28.1;19.8;3.5;
2023-12-12;0;31.4;17.7;2.8;
2023-12-13;0;33.3;18.5;1.7;
2023-12-14;0;35;22.6;1.9;
2023-12-15;0;34;23.1;2.4;
2023-12-16;18;34;22.4;2.1;
2023-12-17;0;36.9;24.3;2;
2023-12-18;0;31.3;24.7;2.6;
2023-12-19;4.2;28.1;23.1;4.1;
2023-12-20;1.4;28.1;21.6;3.9;
2023-12-21;0;31.7;22.2;2.5;
2023-12-22;0;28.7;21.3;2.6;
2023-12-23;.4;29.6;21.7;2.4;
2023-12-24;0;28.5;22.3;2.8;
2023-12-25;0;30.1;21.2;3.2;
2023-12-26;24.8;25.3;18;4.7;
2023-12-27;0;27.6;15.6;2.5;
2023-12-28;0;34.8;16;2;
2023-12-29;25.6;28;21.2;2.7;
2023-12-30;.6;24;18.7;3.4;
2023-12-31;0;25;13.6;2.5;
2024-01-01;0;29.5;16.6;2.7;
2024-01-02;0;28.1;20.8;2.7;
2024-01-03;8;27.3;19.2;3.5;
2024-01-04;0;27.4;19.5;4;
2024-01-05;0;29;20.3;4.2;
2024-01-06;0;31.8;19.5;2.6;
2024-01-07;0;35.7;21.2;1.6;
2024-01-08;0;31.7;23.1;2.3;
2024-01-09;0;29.1;21.7;2.6;
2024-01-10;0;31.6;21.4;1.7;
2024-01-11;11.4;27.3;23;2.8;
2024-01-12;12.8;27;20;3.2;
2024-01-13;0;28.2;17.5;2.9;
2024-01-14;0;35.7;19.6;2.4;
2024-01-15;27.6;30.8;20.3;2;
2024-01-16;0;32.2;20.5;2.2;
2024-01-17;29.2;26.6;21.2;3.8;
2024-01-18;1.2;29.7;23.6;4.1;
2024-01-19;.8;32.4;23.2;1.7;
2024-01-20;8;27.6;23.1;3.7;
2024-01-21;7.8;26.5;21.2;4;
2024-01-22;0;27;19.6;4.1;
2024-01-23;0;27.1;18.9;4.7;
2024-01-24;0;25.8;18.9;3.5;
2024-01-25;.2;27.7;18.9;3.8;
2024-01-26;0;26.8;17.8;2.9;
2024-01-27;0;26.3;19.4;3;
2024-01-28;0;27.1;19.3;2.2;
2024-01-29;6.4;28.2;18.3;1.8;
2024-01-30;.2;28.1;19.9;2;
2024-01-31;0;28.9;17;1.9;
2024-02-01;0;30.5;17.1;2.5;
2024-02-02;0;30.4;18.9;3.5;
2024-02-03;0;33.1;19.1;2.4;
2024-02-04;0;33.9;21.7;1.6;
2024-02-05;.4;30.4;23.8;3;
2024-02-06;0;29.9;22.4;3.1;
2024-02-07;0;31.6;22.7;3.1;
2024-02-08;0;32.3;23.3;2.3;
2024-02-09;0;33.2;22.4;2.8;
2024-02-10;0;34.7;24.1;2.9;
2024-02-11;0;35.1;24.9;1.8;
2024-02-12;0;36.3;25.2;1.5;
2024-02-13;3;27.8;24.4;3.4;
2024-02-14;27.2;26.6;20.6;3.6;
2024-02-15;0;28.2;20.3;4;
2024-02-16;0;23.4;21.4;3;
2024-02-17;18;29.4;20.3;2.9;
2024-02-18;0;30.6;20.3;3;
2024-02-19;0;29.6;23.1;3.3;
2024-02-20;0;27.5;18.2;2.7;
2024-02-21;0;28.4;17.1;2.4;
2024-02-22;0;30.2;20.3;2.4;
2024-02-23;0;33.6;21.1;1.7;
2024-02-24;0;30.6;20.8;2.7;
2024-02-25;0;30.3;21.5;3.4;
2024-02-26;0;26.7;23.2;4;
2024-02-27;9;31;22.8;1.5;
2024-02-28;9.6;29.6;21.9;1.8;
2024-02-29;.2;30.3;22.2;1.7;
2024-03-01;0;30.3;23.5;2.9;
2024-03-02;0;32.4;21.9;2;
2024-03-03;0;29.7;22.9;3.1;
2024-03-04;0;24.4;22;2.7;
2024-03-05;0;26.2;16;2.2;
2024-03-06;0;26.6;13.7;2.6;
2024-03-07;0;30.7;18.1;2.8;
2024-03-08;1;24.3;22.4;1.7;
2024-03-09;50.8;29.6;21.5;1.5;
2024-03-10;0;28.9;19.6;2;
2024-03-11;0;29.1;16.8;2.3;
2024-03-12;0;32.1;17.5;2.4;
2024-03-13;0;33.7;19.2;1.4;
2024-03-14;0;33.9;20.1;1.7;
2024-03-15;0;27.8;22.4;1.6;
2024-03-16;.2;28.9;22.1;1.4;
2024-03-17;1.6;28.2;22.3;2;
2024-03-18;0;31.6;20.8;2.1;
2024-03-19;0;30.4;23.5;1.2;
2024-03-20;0;35.6;23.7;1.7;
2024-03-21;9.8;31;22.2;4.4;
2024-03-22;1;24.2;16.4;3.7;
2024-03-23;0;26.8;15.5;3.3;
2024-03-24;0;30.1;16.7;1.9;
2024-03-25;0;27.3;17;2.3;
2024-03-26;0;26.3;15.8;2.3;
2024-03-27;.6;29.4;18.8;2.9;
2024-03-28;0;29;18.7;1.8;
2024-03-29;0;32.8;19.9;1.7;
2024-03-30;25;30.3;16.7;1.5;
2024-03-31;0;31;18.8;1.9;
2024-04-01;0;30.8;22.1;2.2;
2024-04-02;0;24.7;21;3.1;
2024-04-03;.2;30;17.1;1.9;
2024-04-04;0;26.1;22.1;2.1;
2024-04-05;.2;25.5;21.5;2.7;
2024-04-06;2.4;26.4;13.6;2.9;
2024-04-07;.6;22.2;18.5;2;
2024-04-08;5.6;27.3;19.5;1.1;
2024-04-09;0;28.8;19.4;1.6;
2024-04-10;0;25.5;20.7;2.5;
2024-04-11;2.4;22.7;19.8;3.9;
2024-04-12;5.6;22;17.9;3.9;
2024-04-13;3.6;22.6;19.9;4;
2024-04-14;24.6;26.1;20.7;4.2;
2024-04-15;.6;30.8;22;2.4;
2024-04-16;1.4;25.1;23;1.6;
2024-04-17;25;23.5;17.7;3.5;
2024-04-18;0;25.8;15;2.2;
2024-04-19;0;26.6;14.5;1.4;
2024-04-20;0;28.4;13.2;1.3;
2024-04-21;0;28.9;12.5;1.3;
2024-04-22;0;23.7;15.1;1.1;
2024-04-23;0;28.7;17.2;.8;
2024-04-24;0;23.7;20;2.6;
2024-04-25;0;25;15.9;2.5;
2024-04-26;.8;25.1;17;1.3;
2024-04-27;1;28.1;20.3;2.2;
2024-04-28;39.6;21.6;16.5;2.8;
2024-04-29;1.4;21.1;18.3;2.4;
2024-04-30;132;21.7;18.9;2.9;
2024-05-01;52.2;21.7;19.4;2.3;
2024-05-02;95.2;21;19.5;3;
2024-05-03;22.2;18.3;16.5;3.4;
2024-05-04;7.8;22.7;16.5;1;
2024-05-05;19.8;27.1;19.5;1.8;
2024-05-06;0;32.8;19.6;2.3;
2024-05-07;0;33.2;18.8;1.8;
2024-05-08;0;32.7;23.9;3.2;
2024-05-09;9.2;23.2;14.2;2.6;
2024-05-10;0;18.6;11;2.4;
2024-05-11;44.2;20.1;16.6;1.5;
2024-05-12;55.2;21.2;18.9;2.2;
2024-05-13;28.2;20;16.5;4.8;
2024-05-14;.2;16.2;11;4;
2024-05-15;0;16.4;6.4;1.7;
2024-05-16;0;14.1;5.6;.9;
2024-05-17;7.6;17.6;11.2;1.4;
2024-05-18;.2;17.2;7.7;2.3;
2024-05-19;5.6;16.9;12.8;2;
2024-05-20;.6;18.2;14.3;2.6;
2024-05-21;0;21.1;12.2;1.1;
2024-05-22;.2;26.1;13.2;1.9;
2024-05-23;44.2;22.1;17.3;2.1;
2024-05-24;108.6;18;16.5;4.3;
2024-05-25;18;14.1;10.4;3.1;
2024-05-26;.6;15.5;9.9;3;
2024-05-27;10;16.8;10.8;2.2;
2024-05-28;25.4;15.5;10.9;4.7;
2024-05-29;.6;18.8;10.5;2.3;
2024-05-30;0;16.8;10.3;1.1;
2024-05-31;.4;18.7;7;1.4;
2024-06-01;0;22.8;8.2;.8;
2024-06-02;0;26.9;10.7;1.2;
2024-06-03;15.6;18.2;10.8;3.4;
2024-06-04;1.6;18.2;6.9;2.1;
2024-06-05;0;20.2;10.6;1.4;
2024-06-06;1.2;25.9;13.1;1.2;
2024-06-07;.4;27;14;.9;
2024-06-08;.2;22.9;13.6;1;
2024-06-09;0;29.5;13.7;1.6;
2024-06-10;0;25.9;17.1;1.8;
2024-06-11;0;20.7;16;2;
2024-06-12;0;29.7;14.5;1;
2024-06-13;0;28.9;14;1.6;
2024-06-14;0;31.5;19.3;2.5;
2024-06-15;0;27.1;18.9;1.8;
2024-06-16;24.6;19.1;17.5;2.7;
2024-06-17;17.2;18.7;17;1.9;
2024-06-18;0;23;15.9;1.1;
2024-06-19;72.6;19.3;17;2.3;
2024-06-20;8.2;19.3;16.2;1.5;
2024-06-21;7.6;19.6;17.5;2.1;
2024-06-22;6.2;29.1;13.8;1;
2024-06-23;9.2;26.9;17.6;2.1;
2024-06-24;2.4;17.7;13;3.7;
2024-06-25;0;15;11.2;3.1;
2024-06-26;7.2;14;11.3;2.8;
2024-06-27;.8;16.4;9.4;2.6;
2024-06-28;0;19;8.5;2.6;
2024-06-29;0;13.6;7.9;4.3;
2024-06-30;0;12.6;4.3;3;
2024-07-01;0;16.1;2.4;1.6;
2024-07-02;0;21.4;3.1;1.1;
2024-07-03;.4;20.7;8.8;1.3;
2024-07-04;.6;13.8;11.6;2.1;
2024-07-05;2;12.5;11.4;1.9;
2024-07-06;10;12.2;1.9;1.9;
2024-07-07;.8;12.7;5.5;3.1;
2024-07-08;1.4;11.9;8.6;3.7;
2024-07-09;0;10.5;6;2.8;
2024-07-10;23.2;11;6.7;1.9;
2024-07-11;5.8;11.9;8.5;1.2;
2024-07-12;1.2;13;8.3;3.3;
2024-07-13;0;13.1;8.8;2.5;
2024-07-14;7.2;15.3;9.8;2.5;
2024-07-15;1;18.4;12.2;2.7;
2024-07-16;0;19;13.9;2.9;
2024-07-17;.8;20.3;11;2.1;
2024-07-18;0;17.6;9.2;1.3;
2024-07-19;.2;25.1;8.6;1.2;
2024-07-20;.2;16.7;11.4;2.3;
2024-07-21;0;23.1;11.6;1.2;
2024-07-22;.2;23.2;11;1.2;
2024-07-23;0;24.7;12.3;1.1;
2024-07-24;0;28.6;12;1.3;
2024-07-25;0;25.1;12.9;1.4;
2024-07-26;0;21;12;1.7;
2024-07-27;0;18.9;14.1;1.2;
2024-07-28;7.6;16.2;15;2.3;
2024-07-29;30.8;14.4;11;5;
2024-07-30;0;18.5;9.4;3.3;
2024-07-31;0;21.7;9.2;1.5;
2024-08-01;0;27.3;10.5;1.4;
2024-08-02;0;28.8;12;1.2;
2024-08-03;0;31.2;13.6;2.1;
2024-08-04;8.4;26.2;14.8;2.5;
2024-08-05;4.6;21.9;15;1.7;
2024-08-06;12.6;20.5;17.3;1.7;
2024-08-07;9.6;19.7;17;1.9;
2024-08-08;6;16.4;13;1.7;
2024-08-09;1.8;13.5;8.9;4.2;
2024-08-10;9;13.8;9.8;2.8;
2024-08-11;0;17.9;6;2.4;
