Nome: PORTO ALEGRE
Codigo Estacao: 83967
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-09-18
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-04-19;0;28,8;13,1;1,3;
2015-04-20;9,5;23;21;,6;
2015-04-21;8,4;24,9;18;2,8;
2015-04-22;0;23,7;16,3;2,3;
2015-04-23;,2;22,6;16,3;1,5;
2015-04-24;2,6;25;17,3;1,7;
2015-04-25;,1;25;17,4;,9;
2015-04-26;0;27,3;13,7;,6;
2015-04-27;0;26,2;14,8;1,6;
2015-04-28;0;25,4;16,1;1,9;
2015-04-29;0;23,5;14,5;2,7;
2015-04-30;3,3;20,5;14,1;2,3;
2015-05-01;0;24;13,6;1,1;
2015-05-02;0;24,8;15;1,7;
2015-05-03;2,1;20,9;18,5;1,6;
2015-05-04;4,4;20,1;12,5;1,1;
2015-05-05;,2;21,2;8,5;1,2;
2015-05-06;0;22,2;9,3;1,7;
2015-05-07;0;20,5;10,3;1,7;
2015-05-08;0;21,5;11,2;1,5;
2015-05-09;0;26;12,5;1,6;
2015-05-10;1,8;21,5;17,5;1,6;
2015-05-11;10,4;21,5;14,9;3,8;
2015-05-12;10,4;22,9;14,3;2,5;
2015-05-13;0;24,2;13;1,8;
2015-05-14;0;26,2;12,8;1,3;
2015-05-15;0;25,7;15,6;1,3;
2015-05-16;0;25,6;15,1;1,2;
2015-05-17;0;26,8;16,9;1,1;
2015-05-18;,2;26,8;15,6;2;
2015-05-19;0;27,3;17,1;1,5;
2015-05-20;0;28,2;16,7;,6;
2015-05-21;0;28,6;17,2;1,6;
2015-05-22;0;29,3;17,5;1,5;
2015-05-23;0;29,7;18,9;1,5;
2015-05-24;9,5;25,8;19,3;1,4;
2015-05-25;,7;22,4;18,3;2,1;
2015-05-26;0;23,3;18,3;3,2;
2015-05-27;28,9;19,5;15,9;3,3;
2015-05-28;57,7;18,2;15;2,4;
2015-05-29;9,5;20;13,6;1,7;
2015-05-30;,1;18,1;12,2;1,3;
2015-05-31;,1;19,2;10,2;,5;
2015-06-01;,1;18,4;11,2;1,2;
2015-06-02;,1;22,2;10,2;1,5;
2015-06-03;,1;25,6;10,3;1,4;
2015-06-04;0;23,7;16,1;1,3;
2015-06-05;,1;25,2;15,1;1,5;
2015-06-06;57,1;28;17,6;2;
2015-06-07;0;27,7;18,6;,7;
2015-06-08;,3;22,1;17,4;2,3;
2015-06-09;,2;29,1;18,3;,8;
2015-06-10;0;25,2;17,3;1,2;
2015-06-11;17,2;19;10,8;1,3;
2015-06-12;15,6;16,5;7,7;,7;
2015-06-13;0;20,3;8;,7;
2015-06-14;0;18,2;12,8;1;
2015-06-15;0;15;8,3;2,7;
2015-06-16;0;18,5;4,5;1,5;
2015-06-17;0;20,1;6;,7;
2015-06-18;57,4;14,6;9,4;2;
2015-06-19;,1;14,5;4,7;1,9;
2015-06-20;0;20,5;5,6;0;
2015-06-21;,2;18,8;12,9;0;
2015-06-22;1,3;21;15,3;1,6;
2015-06-23;12,4;16,6;8,9;2,1;
2015-06-24;0;16,1;7;2,1;
2015-06-25;0;22,2;11,2;,9;
2015-06-26;0;23,6;11;,9;
2015-06-27;0;24,7;11,2;,7;
2015-06-28;0;23,9;11,2;1,1;
2015-06-29;,1;23,8;12,9;1,3;
2015-06-30;7,7;20,2;16,1;2,8;
2015-07-01;,5;18;11,6;1,5;
2015-07-02;0;20,3;10,6;1,1;
2015-07-03;0;22,8;13;2;
2015-07-04;,2;16,6;9,2;3,1;
2015-07-05;0;18,4;6,6;1,9;
2015-07-06;0;20,4;10,4;1,1;
2015-07-07;5,4;16,8;14,6;1,4;
2015-07-08;,6;18;14,4;1,4;
2015-07-09;44,5;18,1;14,9;2,1;
2015-07-10;,4;21,1;12,7;1,1;
2015-07-11;0;21,7;12,7;1;
2015-07-12;0;23;12,9;1,3;
2015-07-13;39;20,9;16,5;2,1;
2015-07-14;61,5;18;11,2;1,8;
2015-07-15;6,5;11,5;10,2;,5;
2015-07-16;5,1;15,7;11;1,4;
2015-07-17;12,1;17,1;14,5;1,5;
2015-07-18;10,2;23,2;13,1;,7;
2015-07-19;21,8;21,6;14,8;1,8;
2015-07-20;67,5;17,8;13,2;2,7;
2015-07-21;29,8;17,5;11,9;1,3;
2015-07-22;0;18,8;9,2;1,9;
2015-07-23;0;18,5;9,2;,4;
2015-07-24;0;19,3;14;1,9;
2015-07-25;0;20,2;13,1;1,4;
2015-07-26;3,5;20,2;13,4;1;
2015-07-27;,4;22,3;14,4;,8;
2015-07-28;,1;26,5;14,2;1,5;
2015-07-29;0;23,8;13,8;,5;
2015-07-30;,1;28,8;14,8;,3;
2015-07-31;0;29,3;17;1,3;
2015-08-01;0;24,3;16,5;1,9;
2015-08-02;0;28,8;17,1;1,3;
2015-08-03;0;25,8;19,1;1,4;
2015-08-04;8,2;20,5;16,4;2,3;
2015-08-05;30,6;20;15,9;2,4;
2015-08-06;,3;31,4;17,3;2;
2015-08-07;0;33,6;22,6;2,9;
2015-08-08;0;35,2;22,6;,8;
2015-08-09;0;32;19,2;,4;
2015-08-10;0;32,2;18,4;2;
2015-08-11;3,4;25,8;17,6;1,9;
2015-08-12;1;31,1;18;,9;
2015-08-13;0;29,5;19,8;,8;
2015-08-14;0;28,2;19;,2;
2015-08-15;0;24,2;18,7;1,5;
2015-08-16;,1;19,1;15,4;2,3;
2015-08-17;,1;30,2;17,7;2,2;
2015-08-18;0;27;18,3;1,3;
2015-08-19;18,8;19;14,2;1,7;
2015-08-20;4,8;19,7;14,8;2,8;
2015-08-21;,4;24,8;14,5;2,7;
2015-08-22;0;27,6;13,9;3;
2015-08-23;27,4;23,2;14,1;2,5;
2015-08-24;0;18,9;9,6;2,1;
2015-08-25;0;23,6;13,5;1,9;
2015-08-26;0;20,4;14,9;1,9;
2015-08-27;13,8;23,4;15,9;3;
2015-08-28;0;21,6;9,6;1,7;
2015-08-29;0;28,4;10,2;1,5;
2015-08-30;0;30,4;14;1,4;
2015-08-31;0;31,3;13,9;2;
2015-09-01;,5;25,7;14,1;2,7;
2015-09-02;0;22;11;3,6;
2015-09-03;,1;22,8;13,9;3,1;
2015-09-04;1,6;20,5;13,7;2,4;
2015-09-05;0;19,7;13,5;2,5;
2015-09-06;0;22;13,5;1,2;
2015-09-07;0;24,2;11,9;2,3;
2015-09-08;0;21,5;14,5;1,4;
2015-09-09;0;25,3;13,2;1,3;
2015-09-10;0;26;12,9;2;
2015-09-11;6,5;17,6;11,3;2,6;
2015-09-12;0;16,7;5,9;1,6;
2015-09-13;0;21,7;5,6;1,9;
2015-09-14;0;26;8,6;1,7;
2015-09-15;0;29,6;10,9;,7;
2015-09-16;8;22,4;15,9;2,4;
2015-09-17;21,5;18,5;15,5;2,3;
2015-09-18;32;18,4;16,7;2,1;
2015-09-19;14,4;19,4;16,5;1,5;
2015-09-20;6,9;19,4;17,2;1,8;
2015-09-21;20,4;21;17,8;2,6;
2015-09-22;24,2;22,3;18,2;2;
2015-09-23;14,3;22,2;17,1;2,4;
2015-09-24;3,9;21,8;18,5;1,7;
2015-09-25;29,1;21,9;17,5;2,2;
2015-09-26;,2;19,3;15,1;1,8;
2015-09-27;,4;21,2;17;1,4;
2015-09-28;0;23,5;11,9;1;
2015-09-29;0;27,1;11,5;1,2;
2015-09-30;0;22,8;13,9;1,9;
2015-10-01;0;23,6;12,2;2,8;
2015-10-02;0;25,5;17,5;2,1;
2015-10-03;9,1;19,3;13,5;1,2;
2015-10-04;0;21;11;1,5;
2015-10-05;0;22,6;9,8;2,6;
2015-10-06;,1;29,1;15,1;1,4;
2015-10-07;0;22,9;19;1,5;
2015-10-08;83,1;20,2;18,5;1,4;
2015-10-09;22;19,8;17,2;,4;
2015-10-10;33,7;18;15,4;3,7;
2015-10-11;32,4;20,6;15,5;1,7;
2015-10-12;3,3;20,3;15,5;2,1;
2015-10-13;3,3;23;12,7;2,2;
2015-10-14;0;27,6;15,5;2,5;
2015-10-15;44,1;23,7;18,9;1,4;
2015-10-16;12,4;23,8;15,5;,9;
2015-10-17;,7;17,8;12,3;1,2;
2015-10-18;0;19,7;7,4;3;
2015-10-19;0;25,4;12,7;2,5;
2015-10-20;0;28,8;18,1;2,7;
2015-10-21;,3;25,3;14,7;3;
2015-10-22;57,3;24,4;15,1;,8;
2015-10-23;,1;24,9;18;2,9;
2015-10-24;0;19,8;14;2,4;
2015-10-25;0;21,6;13,1;2;
2015-10-26;0;26,9;16,3;,9;
2015-10-27;0;26,3;18,5;1,7;
2015-10-28;0;25,5;19,2;2,9;
2015-10-29;0;31;18,2;2,9;
2015-10-30;0;30,5;19,2;2,2;
2015-10-31;5,4;23;17,8;2;
2015-11-01;1,9;21,1;15,7;4;
2015-11-02;1,4;20,2;16,3;3,1;
2015-11-03;0;26;16,8;1,9;
2015-11-04;4,4;20,3;16;3,6;
2015-11-05;37,8;17,2;14,3;2,5;
2015-11-06;4,7;22;15,2;3;
2015-11-07;0;24,7;14,6;3,2;
2015-11-08;0;28,3;16,9;2;
2015-11-09;0;31,8;19,6;1,5;
2015-11-10;0;25,8;20,7;2;
2015-11-11;13,8;25,3;19,4;2,5;
2015-11-12;,6;26,8;19,5;3;
2015-11-13;3,5;31,2;20,2;2,3;
2015-11-14;0;28,6;19,4;3,3;
2015-11-15;0;26;16,3;2,2;
2015-11-16;0;26,1;16,2;2,7;
2015-11-17;7,1;23,4;19;1,2;
2015-11-18;8,1;28,6;20,2;1,7;
2015-11-19;0;31,3;20,3;3;
2015-11-20;37,4;25,9;17,5;2,6;
2015-11-21;0;23,3;13,7;2,1;
2015-11-22;0;28,4;15,2;1,7;
2015-11-23;0;24,9;16,5;3,5;
2015-11-24;0;22,1;17;3,3;
2015-11-25;0;24,2;17,7;4,3;
2015-11-26;0;26,4;19,3;2,2;
2015-11-27;0;29,3;20,4;,9;
2015-11-28;3;28,5;21,2;2,1;
2015-11-29;0;27,1;16,1;1,6;
2015-11-30;0;26,2;14,4;2,1;
2015-12-01;0;28,6;16;,9;
2015-12-02;7,5;23,8;19,9;2,8;
2015-12-03;,7;27,6;19,4;2,9;
2015-12-04;0;27,8;21;,7;
2015-12-05;3,4;26,3;20,7;2,2;
2015-12-06;0;26,4;17,5;1,8;
2015-12-07;0;25,9;13;2;
2015-12-08;0;32,3;15,3;1,3;
2015-12-09;0;33,9;20,5;2,3;
2015-12-10;18,8;28,5;20,3;1,5;
2015-12-11;0;32,2;16,5;2,1;
2015-12-12;0;35,5;20,9;1,6;
2015-12-13;,2;29,8;21,9;1,7;
2015-12-14;0;30,8;21,6;1,7;
2015-12-15;4,7;29,5;21,3;2,7;
2015-12-16;0;28,3;18,2;2,8;
2015-12-17;0;34,9;20;1,9;
2015-12-18;0;30,7;22,6;2,2;
2015-12-19;16,8;24,6;19,6;1,6;
2015-12-20;0;26;17,5;3,7;
2015-12-21;0;27,7;19,2;1,4;
2015-12-22;0;27,3;21,7;1;
2015-12-23;4,7;28,1;22,1;,2;
2015-12-24;8,4;23,7;21,4;1,1;
2015-12-25;24,7;25,3;21;2,8;
2015-12-26;1,6;27,5;21,1;1,7;
2015-12-27;0;31,1;21,4;,4;
2015-12-28;0;30,1;22,4;1,1;
2015-12-29;0;32,8;23,5;2,6;
2015-12-30;,1;31,8;24,6;,3;
2015-12-31;3,9;30,5;24;2,9;
2016-01-01;,1;27,1;21,5;2,3;
2016-01-02;0;28,5;21,4;2,4;
2016-01-03;0;30;21,3;3,3;
2016-01-04;0;33,3;22;1,7;
2016-01-05;0;33,2;22,9;1,3;
2016-01-06;3,2;33,2;24,3;1,2;
2016-01-07;0;27,2;22,8;3,2;
2016-01-08;,1;27,7;20;2,6;
2016-01-09;0;28,8;21,5;2,6;
2016-01-10;0;32,1;22,5;1,4;
2016-01-11;0;32,7;22,2;2,4;
2016-01-12;0;34,6;23;1,6;
2016-01-13;0;34;22,6;2,8;
2016-01-14;,3;29,1;20,6;2,7;
2016-01-15;0;34,3;20,1;1,6;
2016-01-16;0;33,7;21,2;1,9;
2016-01-17;0;35,4;19,5;1,4;
2016-01-18;0;36,9;19,3;2,3;
2016-01-19;0;33,1;20,7;2,1;
2016-01-20;0;32,6;21,8;1,7;
2016-01-21;0;32,2;22;3,3;
2016-01-22;0;32,5;20;2,8;
2016-01-23;0;34,8;18,5;1,8;
2016-01-24;0;36,9;22,2;2,3;
2016-01-25;0;39;22,1;2,4;
2016-01-26;3,7;25,7;20,2;1,1;
2016-01-27;3,1;29;18,3;3,6;
2016-01-28;,7;30,3;21,4;2,7;
2016-01-29;0;36,8;22,6;1,4;
2016-01-30;39,3;31,6;20,6;1,6;
2016-01-31;58,9;26,4;22;1,7;
2016-02-01;4,2;28,6;20,4;3,1;
2016-02-02;,3;27,8;18,1;1,3;
2016-02-03;0;27,7;21;1,5;
2016-02-04;61,8;29,6;22;,6;
2016-02-05;14,8;29,8;20,8;1;
2016-02-06;0;30,7;19,8;2,2;
2016-02-07;0;31,9;21,2;3,1;
2016-02-08;0;36;22,6;1,9;
2016-02-09;7,4;30,3;24,5;1,6;
2016-02-10;1,3;34,6;22,4;1,1;
2016-02-11;0;32;21;1,6;
2016-02-12;0;33,6;21,9;1,5;
2016-02-13;0;33,3;23,2;1,9;
2016-02-14;41,3;31;23,6;1,6;
2016-02-15;0;31,6;21,1;1,2;
2016-02-16;0;31,9;21,6;1,5;
2016-02-17;0;35,2;22,5;1,4;
2016-02-18;5,4;32,7;22,8;2,1;
2016-02-19;0;33,3;19,8;,1;
2016-02-20;0;31;21,6;1,8;
2016-02-21;0;31;22,6;3,1;
2016-02-22;0;32,4;22,6;1,7;
2016-02-23;0;32,8;23;2,1;
2016-02-24;0;33,8;22,4;1,8;
2016-02-25;0;35,1;25,4;2,4;
2016-02-26;0;35,2;24,2;1,8;
2016-02-27;2,1;29;23,6;2,3;
2016-02-28;0;29,9;19,7;1,6;
2016-02-29;0;30,8;17,1;1,8;
2016-03-01;0;31,1;17,5;2,5;
2016-03-02;0;27,8;20,5;3;
2016-03-03;73,6;24,8;17,5;2,7;
2016-03-04;9,3;26,6;18,7;1,4;
2016-03-05;0;28,5;17,7;,8;
2016-03-06;0;28,6;19,5;2,1;
2016-03-07;0;28,8;19,9;1,5;
2016-03-08;0;30,6;19,3;2;
2016-03-09;8,5;24,6;22;1;
2016-03-10;52,4;23,5;20,6;2,7;
2016-03-11;2,6;26;19,3;2,4;
2016-03-12;10,8;25,8;18,5;2,1;
2016-03-13;0;26,6;17,7;2,8;
2016-03-14;0;28,8;18,5;2,2;
2016-03-15;0;30,2;18,9;2,2;
2016-03-16;0;31,4;20,2;1,4;
2016-03-17;0;33,8;21;1,5;
2016-03-18;0;34,8;22,5;2,7;
2016-03-19;40,3;29,8;20,1;2,1;
2016-03-20;10,4;25,8;20,1;2,9;
2016-03-21;23,7;27,4;19,6;1,7;
2016-03-22;18,4;27,6;20,8;2,4;
2016-03-23;5;26,1;19,8;2,3;
2016-03-24;0;28;18,3;3,6;
2016-03-25;,3;22,5;19;2,9;
2016-03-26;45,5;27,3;19;2,9;
2016-03-27;0;25;20,1;3,1;
2016-03-28;1,6;26,8;20;3,1;
2016-03-29;0;27,8;18,9;2,1;
2016-03-30;0;28,6;19;1,4;
2016-03-31;0;27,8;19,8;2,2;
2016-04-01;0;29;21,1;2,7;
2016-04-02;0;32,4;20,4;1,8;
2016-04-03;12,9;28,3;20;1,8;
2016-04-04;0;27;20,1;2,5;
2016-04-05;0;32,4;22;1,3;
2016-04-06;0;34;23,6;1,8;
2016-04-07;8,7;26,6;22,1;1,9;
2016-04-08;0;26;20,4;1,7;
2016-04-09;9,5;25,7;19,1;0;
2016-04-10;0;25,4;22,3;1,9;
2016-04-11;11,4;23,4;20,5;,6;
2016-04-12;11,4;23,8;21,1;1,8;
2016-04-13;2,9;29;21,1;,6;
2016-04-14;5,7;29;20,1;1,8;
2016-04-15;0;35,2;21,4;1,2;
2016-04-16;0;35,2;23,8;2,7;
2016-04-17;0;36;25,2;1,3;
2016-04-18;0;31,5;24,6;1,9;
2016-04-19;0;34,6;23,7;2,7;
2016-04-20;0;30;23,2;1,9;
2016-04-21;0;30;21,3;,9;
2016-04-22;2,4;24;19,2;2,3;
2016-04-23;20,8;27,2;20,3;,6;
2016-04-24;14;28,8;20,3;1,9;
2016-04-25;73,1;25,2;17,7;1,9;
2016-04-26;34,2;19,4;11,4;2,1;
2016-04-27;8,9;15,6;9,5;3,2;
2016-04-28;0;16;7,2;2,5;
2016-04-29;0;15;6,8;1,9;
2016-04-30;0;17,8;8;2,3;
2016-05-01;0;18,4;7,5;2,2;
2016-05-02;0;21,4;8,2;1,3;
2016-05-03;0;21,2;12,9;2;
2016-05-04;,1;21;10,8;1,1;
2016-05-05;,1;20,2;11,1;1,7;
2016-05-06;,1;20,4;12,3;1,5;
2016-05-07;0;21,3;15,9;2,2;
2016-05-08;0;23,4;15,9;3,2;
2016-05-09;1,7;24,7;17,9;1,4;
2016-05-10;,8;22,4;17,8;2,4;
2016-05-11;,6;18,8;14,9;2,7;
2016-05-12;1,1;16,8;12,3;1;
2016-05-13;0;19,6;9,9;1,2;
2016-05-14;0;25;13,1;1,7;
2016-05-15;,2;18,4;14,6;1,8;
2016-05-16;55,3;18,3;13,1;3,2;
2016-05-17;0;14,6;9,9;3;
2016-05-18;0;16,6;7;1,6;
2016-05-19;0;17,2;6,8;1,6;
2016-05-20;0;16,6;8,5;1,5;
2016-05-21;,6;18,1;13;1,5;
2016-05-22;,1;16,2;13,7;1,9;
2016-05-23;1,1;15,8;9;1,9;
2016-05-24;0;18,6;7,1;1,9;
2016-05-25;0;22;11;1,7;
2016-05-26;,7;22,2;14;1,6;
2016-05-27;0;17,5;12,9;1,5;
2016-05-28;,1;22,8;12,1;2,7;
2016-05-29;,3;19,4;16,4;,9;
2016-05-30;9,6;20;15,7;2,5;
2016-05-31;0;19;14,5;2,3;
2016-06-01;0;18,6;10,2;1,7;
2016-06-02;0;17,8;10,8;2,1;
2016-06-03;0;13,4;10,5;2,5;
2016-06-04;0;14,2;7,2;1,1;
2016-06-05;0;15,2;6,1;1,2;
2016-06-06;0;14,8;8,6;1,6;
2016-06-07;0;16,4;6,8;2,6;
2016-06-08;0;16,7;8,1;3,2;
2016-06-09;0;14,2;3,8;2,4;
2016-06-10;0;13;4,8;1,9;
2016-06-11;,6;12,8;3,4;3,5;
2016-06-12;0;15;3,3;1,8;
2016-06-13;0;17,6;3;1,4;
2016-06-14;0;18,6;5,2;1,2;
2016-06-15;0;21,2;7,2;1,1;
2016-06-16;0;18,8;11,4;1,7;
2016-06-17;4,7;14,6;9,4;1,8;
2016-06-18;0;12,2;7,1;1,4;
2016-06-19;,1;10,4;5,3;1,2;
2016-06-20;0;13,8;7,4;1,8;
2016-06-21;0;17,8;8,4;2,5;
2016-06-22;1;15,7;12,1;2,2;
2016-06-23;0;18,1;12;1,1;
2016-06-24;,1;19,8;9,2;1,5;
2016-06-25;,1;19,8;9;1;
2016-06-26;0;22,2;12,1;1,6;
2016-06-27;0;19,2;11,6;1,3;
2016-06-28;0;15,4;11,8;,6;
2016-06-29;,2;17,9;12,7;1,2;
2016-06-30;0;17,2;11;1,4;
2016-07-01;0;27,2;11,8;1,2;
2016-07-02;,2;26,8;13,1;1,1;
2016-07-03;0;29,6;13,5;1,5;
2016-07-04;0;29;15,5;1,7;
2016-07-05;0;28;17,7;2,2;
2016-07-06;21,8;24,1;11,8;4,9;
2016-07-07;0;18,4;9,8;2,9;
2016-07-08;0;19,4;7,6;1;
2016-07-09;0;16;11,7;1,1;
2016-07-10;11,8;19;11;1,4;
2016-07-11;60,2;15,8;12,5;1,7;
2016-07-12;25;18,9;13,9;2,7;
2016-07-13;,3;18,2;9,5;2,2;
2016-07-14;1,6;18;13;2,2;
2016-07-15;8;19,2;12,7;3;
2016-07-16;,7;16,1;9,2;4,1;
2016-07-17;,2;12,1;6,5;3,7;
2016-07-18;0;14,5;7,4;1,7;
2016-07-19;0;15,1;6;1,2;
2016-07-20;0;14,2;5;1,4;
2016-07-21;0;16,4;7;1,6;
2016-07-22;0;15,8;7,2;1,8;
2016-07-23;,1;22,3;7,4;,9;
2016-07-24;0;21,2;11,3;1,5;
2016-07-25;0;24,6;12,1;2;
2016-07-26;1,4;21,2;13;4,4;
2016-07-27;19,4;14,9;10,4;4,1;
2016-07-28;0;14,9;5,4;1,5;
2016-07-29;0;18,6;6,5;2,3;
2016-07-30;0;23,7;9,8;1,6;
2016-07-31;0;29,2;13,6;1,3;
2016-08-01;0;22,7;13,7;2,4;
2016-08-02;0;14,8;11,9;1,4;
2016-08-03;0;21,8;11,2;2,9;
2016-08-04;0;24,6;13,9;1,6;
2016-08-05;0;29,1;14,9;1,6;
2016-08-06;0;20,7;12,7;2,1;
2016-08-07;21,4;19,6;11,1;1,5;
2016-08-08;0;19,3;9,6;2,8;
2016-08-09;0;18;10;2,1;
2016-08-10;2;17,2;9,1;1,9;
2016-08-11;0;17,6;11;2,1;
2016-08-12;,2;21,1;10;1,3;
2016-08-13;0;23,8;9;1,7;
2016-08-14;0;26,1;11,6;1,5;
2016-08-15;0;24,2;13,5;1,9;
2016-08-16;0;24,2;15,5;1,3;
2016-08-17;15,6;21,4;14,7;1,1;
2016-08-18;,8;21,4;7,3;1,7;
2016-08-19;0;16,8;11,8;2,5;
2016-08-20;5;15,9;12,8;1,8;
2016-08-21;11,6;14,7;9,8;1,7;
2016-08-22;,6;17,1;6,2;1,9;
2016-08-23;0;22,5;6;0;
2016-08-24;0;25,5;7,1;,5;
2016-08-25;0;27;10,4;1,6;
2016-08-26;0;32,6;12,9;,9;
2016-08-27;0;33;18,4;1,4;
2016-08-28;0;25;18;1,9;
2016-08-29;6,7;19,4;17,1;1,5;
2016-08-30;15,5;24,7;17,5;,7;
2016-08-31;19,4;21,2;15,4;2;
2016-09-01;1,1;22,3;14,5;1,4;
2016-09-02;0;18,2;12,9;1,6;
2016-09-03;,7;16,5;14,5;1,5;
2016-09-04;19,6;17,5;14,7;0;
2016-09-05;7;23,3;15,3;,5;
2016-09-06;29,3;17,2;12,3;5,8;
2016-09-07;,5;15,7;11,7;4,6;
2016-09-08;0;19,8;12,1;2,8;
2016-09-09;0;24,2;10,4;1,3;
2016-09-10;0;27,6;11,8;1,1;
